Fix;Lat;Long
AGULO;008.37.35.000S;114.41.59.000E
AGUDA;007.27.22.000S;114.24.22.000E
AGUNG;007.59.29.000S;115.41.04.000E
AKINO;005.50.24.000S;115.03.47.000E
ALEGO;010.38.25.900S;125.08.00.800E
ANGSA;009.06.22.000S;117.04.00.000E
ARUPI;009.01.51.000S;112.41.26.000E
ATANO;006.37.46.000S;113.38.18.000E
ATMAP;012.00.00.000S;118.15.18.000E
BIKOD;005.37.49.000S;116.32.36.000E
BIMAK;005.31.34.000S;117.04.04.000E
BIMOV;008.32.57.000S;115.41.44.000E
BLACK;006.21.32.000S;111.06.57.000E
BOMAN;006.27.22.000S;110.23.00.000E
BORGI;007.33.47.000S;114.17.47.000E
CODOT;008.56.42.700S;115.49.23.900E
CUCUT;006.17.42.000S;111.06.00.000E
DASTY;006.10.26.000S;116.19.50.000E
DOBMA;006.49.36.000S;115.04.54.000E
DOSDO;003.46.12.000S;113.43.30.000E
DUNIA;003.58.00.000S;113.08.30.000E
EGATU;012.00.00.000S;116.05.36.000E
EMTAS;006.27.38.000S;116.09.58.000E
ENDOG;005.52.37.000S;117.12.05.000E
ENTAS;007.42.47.000S;114.22.13.000E
FARIZ;005.52.20.000S;111.13.10.000E
GABIT;009.25.41.000S;117.35.48.000E
GAGAK;010.09.45.000S;116.28.56.000E
GAJAH;006.59.09.000S;115.56.11.000E
GIWOT;011.15.44.000S;115.09.11.000E
GURNI;003.58.48.000S;117.15.08.000E
HEREN;005.56.43.000S;114.08.17.000E
HOSTY;006.42.52.000S;115.39.00.000E
HULAT;004.56.19.000S;116.04.21.000E
HUMAI;008.22.16.000S;119.23.35.000E
IKAPI;004.57.22.000S;113.58.37.000E
ILDAM;010.35.31.610S;116.53.04.430E
JALAK;010.40.34.000S;115.09.20.000E
KALIV;010.58.11.000S;116.20.58.000E
KALUT;005.57.54.000S;110.23.00.000E
KEDAT;009.10.00.000S;115.34.30.000E
KEONG;006.55.16.000S;120.01.58.000E
KETUT;009.17.51.000S;118.12.45.000E
KEVOK;004.20.27.000S;114.56.30.000E
KIDUL;009.00.34.000S;114.13.58.000E
KOLTA;006.27.53.000S;113.49.40.000E
LAMUD;003.02.25.200S;112.18.30.600E
LASEM;006.37.06.000S;111.36.54.000E
LEDOM;009.12.51.000S;117.38.46.000E
LIPOT;006.40.51.000S;117.37.48.000E
LIPRA;011.10.17.000S;115.50.19.000E
MADIN;006.17.54.000S;110.23.00.000E
MALEO;010.27.07.000S;116.04.19.000E
MALGI;006.52.38.000S;115.36.40.000E
MOVMO;008.01.17.000S;113.53.44.000E
MUBOT;008.28.27.000S;117.24.17.000E
MURAI;010.36.23.000S;115.40.50.000E
MUSAD;008.32.26.600S;118.41.29.900E
NETTO;007.02.58.000S;121.01.45.000E
NUNLU;005.11.37.000S;117.01.32.000E
NUSKI;008.34.59.400S;114.28.43.100E
NYOMA;010.02.19.000S;117.20.05.000E
OKANG;007.45.10.000S;114.05.04.000E
ONOXA;012.00.00.010S;120.52.44.550E
PALBO;009.16.12.000S;117.01.42.000E
PATIN;008.25.09.160S;115.41.03.680E
PEBGU;008.33.48.000S;117.04.58.000E
PEDET;007.30.39.000S;116.38.32.000E
PEDSO;006.58.25.000S;113.59.05.000E
PIKAP;008.03.49.000S;116.58.12.000E
PUPIT;012.00.00.000S;115.09.02.380E
PURWO;007.11.48.000S;110.45.08.000E
RAMPY;006.15.01.000S;113.20.46.000E
RITBO;005.52.38.000S;112.55.33.000E
RUPKA;005.28.38.000S;110.21.53.000E
RUTEN;008.36.17.000S;120.28.10.000E
APORU;008.37.39.000S;121.44.06.000E
ARABA;008.33.37.000S;118.51.49.000E
BABUL;008.36.52.000S;117.28.07.000E
BELOR;009.29.00.000S;121.37.26.000E
BERIN;008.32.12.000S;118.27.58.000E
BLIMI;008.18.38.170S;114.20.24.650E
BOELI;008.49.55.000S;121.52.27.000E
ANROK;008.08.07.000S;124.35.40.000E
BOBAN;008.27.49.800S;123.16.15.000E
BOLEL;010.46.01.000S;123.04.27.000E
BOLEN;008.26.17.000S;119.59.37.000E
BORON;008.49.40.000S;120.48.40.000E
BOVBA;002.39.42.000S;114.13.24.000E
BRANG;008.29.19.000S;117.24.51.000E
BUTNU;002.36.22.000S;113.24.22.000E
CARIN;008.36.08.000S;119.48.33.000E
DULOS;008.07.54.000S;115.55.07.000E
